Driver,Cluster,PC1,PC2
ALB,3,-0.4318771384726562,1.1219827303977374
ALO,0,-0.5730845824578358,0.8209782352788713
ANT,3,-0.3337533212682419,0.422438621824952
BEA,3,-0.9896878311099185,1.6386715473888782
BOR,0,2.4981365694103257,0.7840821910278891
COL,0,0.41503110532864435,-0.12734745012238663
DOO,1,6.976089860770335,-3.423826669075209
GAS,3,0.10593360904588159,1.187238201308127
HAD,3,0.04144133047540367,1.3845455537541929
HAM,3,-0.7122306174800856,1.0728532791448124
HUL,0,0.5066960542710345,-0.3042315513765677
LAW,3,1.2069092794769434,0.5428317695490518
LEC,2,-1.2967485781484325,-1.4183447876401492
NOR,2,-3.5966740074147148,-2.6114336973267367
OCO,0,3.2608194684309812,0.4991403931832991
PIA,2,-3.137817506618672,-1.1797261814234805
RUS,2,-2.1206575853680545,-1.597548772222394
SAI,3,0.1352825213108263,2.291856370293852
STR,0,0.20301960768456728,0.9340927098052717
TSU,3,-0.2508921100784817,0.2679180461901722
VER,2,-1.9059361277878537,-2.3061705399601853
