Driver,MostSimilarDriver,SimilarityScore
ALB,TSU,0.6541028910631108
ALO,STR,0.8479499410012549
ANT,PIA,0.407431798122382
BEA,ALO,0.4693666250685457
BOR,OCO,0.5890809757460017
COL,HUL,0.5577736861840369
DOO,LAW,0.502125866042861
GAS,LAW,0.7448744345129424
HAD,GAS,0.6781605720933537
HAM,SAI,0.7417258945587731
HUL,COL,0.5577736861840369
LAW,GAS,0.7448744345129424
LEC,NOR,0.779559455627379
NOR,VER,0.8765267369159047
OCO,BOR,0.5890809757460017
PIA,RUS,0.7495332602846206
RUS,NOR,0.7941260952634479
SAI,HAM,0.7417258945587731
STR,ALO,0.8479499410012549
TSU,ALB,0.6541028910631108
VER,NOR,0.8765267369159047
