Round,Race,Abbreviation,TeamName,Position,Points,CumulativePoints,ChampionshipPosition
1,abu_dhabi,ALB,Williams,16.0,0.0,0.0,11.0
2,australian,ALB,Williams,5.0,10.0,10.0,7.0
3,austrian,ALB,Williams,17.0,0.0,10.0,9.0
4,azerbaijan,ALB,Williams,13.0,0.0,10.0,11.0
5,bahrain,ALB,Williams,12.0,0.0,10.0,12.0
6,belgian,ALB,Williams,6.0,8.0,18.0,9.0
7,british,ALB,Williams,8.0,4.0,22.0,9.0
8,canadian,ALB,Williams,20.0,0.0,22.0,9.0
9,chinese,ALB,Williams,7.0,6.0,28.0,9.0
10,dutch,ALB,Williams,5.0,10.0,38.0,8.0
11,emilia_romagna,ALB,Williams,5.0,10.0,48.0,7.0
12,hungarian,ALB,Williams,15.0,0.0,48.0,7.0
13,italian,ALB,Williams,7.0,6.0,54.0,7.0
14,japanese,ALB,Williams,9.0,2.0,56.0,8.0
15,las_vegas,ALB,Williams,16.0,0.0,56.0,8.0
16,mexico_city,ALB,Williams,12.0,0.0,56.0,8.0
17,miami,ALB,Williams,5.0,10.0,66.0,8.0
18,monaco,ALB,Williams,9.0,2.0,68.0,8.0
19,qatar,ALB,Williams,11.0,0.0,68.0,8.0
20,saudi_arabian,ALB,Williams,9.0,2.0,70.0,8.0
21,singapore,ALB,Williams,14.0,0.0,70.0,8.0
22,spanish,ALB,Williams,19.0,0.0,70.0,8.0
23,são_paulo,ALB,Williams,11.0,0.0,70.0,8.0
24,united_states,ALB,Williams,14.0,0.0,70.0,8.0
1,abu_dhabi,ALO,Aston Martin,6.0,8.0,8.0,6.0
2,australian,ALO,Aston Martin,17.0,0.0,8.0,9.0
3,austrian,ALO,Aston Martin,7.0,6.0,14.0,7.0
4,azerbaijan,ALO,Aston Martin,15.0,0.0,14.0,10.0
5,bahrain,ALO,Aston Martin,15.0,0.0,14.0,10.0
6,belgian,ALO,Aston Martin,17.0,0.0,14.0,11.0
7,british,ALO,Aston Martin,9.0,2.0,16.0,11.0
8,canadian,ALO,Aston Martin,7.0,6.0,22.0,9.0
9,chinese,ALO,Aston Martin,17.0,0.0,22.0,11.0
10,dutch,ALO,Aston Martin,8.0,4.0,26.0,10.0
11,emilia_romagna,ALO,Aston Martin,11.0,0.0,26.0,10.0
12,hungarian,ALO,Aston Martin,5.0,10.0,36.0,9.0
13,italian,ALO,Aston Martin,19.0,0.0,36.0,9.0
14,japanese,ALO,Aston Martin,11.0,0.0,36.0,9.0
15,las_vegas,ALO,Aston Martin,11.0,0.0,36.0,9.0
16,mexico_city,ALO,Aston Martin,18.0,0.0,36.0,9.0
17,miami,ALO,Aston Martin,15.0,0.0,36.0,9.0
18,monaco,ALO,Aston Martin,19.0,0.0,36.0,10.0
19,qatar,ALO,Aston Martin,7.0,6.0,42.0,10.0
20,saudi_arabian,ALO,Aston Martin,11.0,0.0,42.0,10.0
21,singapore,ALO,Aston Martin,7.0,6.0,48.0,10.0
22,spanish,ALO,Aston Martin,9.0,2.0,50.0,10.0
23,são_paulo,ALO,Aston Martin,14.0,0.0,50.0,10.0
24,united_states,ALO,Aston Martin,10.0,1.0,51.0,10.0
1,abu_dhabi,ANT,Mercedes,15.0,0.0,0.0,11.0
2,australian,ANT,Mercedes,4.0,12.0,12.0,6.0
3,austrian,ANT,Mercedes,19.0,0.0,12.0,8.0
4,azerbaijan,ANT,Mercedes,4.0,12.0,24.0,6.0
5,bahrain,ANT,Mercedes,11.0,0.0,24.0,7.0
6,belgian,ANT,Mercedes,16.0,0.0,24.0,7.0
7,british,ANT,Mercedes,16.0,0.0,24.0,8.0
8,canadian,ANT,Mercedes,3.0,15.0,39.0,7.0
9,chinese,ANT,Mercedes,6.0,8.0,47.0,7.0
10,dutch,ANT,Mercedes,16.0,0.0,47.0,7.0
11,emilia_romagna,ANT,Mercedes,19.0,0.0,47.0,8.0
12,hungarian,ANT,Mercedes,10.0,1.0,48.0,7.0
13,italian,ANT,Mercedes,9.0,2.0,50.0,8.0
14,japanese,ANT,Mercedes,6.0,8.0,58.0,7.0
15,las_vegas,ANT,Mercedes,3.0,15.0,73.0,7.0
16,mexico_city,ANT,Mercedes,6.0,8.0,81.0,7.0
17,miami,ANT,Mercedes,6.0,8.0,89.0,7.0
18,monaco,ANT,Mercedes,18.0,0.0,89.0,7.0
19,qatar,ANT,Mercedes,5.0,10.0,99.0,7.0
20,saudi_arabian,ANT,Mercedes,6.0,8.0,107.0,7.0
21,singapore,ANT,Mercedes,5.0,10.0,117.0,6.0
22,spanish,ANT,Mercedes,18.0,0.0,117.0,7.0
23,são_paulo,ANT,Mercedes,2.0,18.0,135.0,6.0
24,united_states,ANT,Mercedes,13.0,0.0,135.0,6.0
1,abu_dhabi,BEA,Haas F1 Team,12.0,0.0,0.0,11.0
2,australian,BEA,Haas F1 Team,14.0,0.0,0.0,13.0
3,austrian,BEA,Haas F1 Team,11.0,0.0,0.0,15.0
4,azerbaijan,BEA,Haas F1 Team,12.0,0.0,0.0,18.0
5,bahrain,BEA,Haas F1 Team,10.0,1.0,1.0,18.0
6,belgian,BEA,Haas F1 Team,11.0,0.0,1.0,18.0
7,british,BEA,Haas F1 Team,11.0,0.0,1.0,18.0
8,canadian,BEA,Haas F1 Team,11.0,0.0,1.0,18.0
9,chinese,BEA,Haas F1 Team,8.0,4.0,5.0,18.0
10,dutch,BEA,Haas F1 Team,6.0,8.0,13.0,17.0
11,emilia_romagna,BEA,Haas F1 Team,17.0,0.0,13.0,17.0
12,hungarian,BEA,Haas F1 Team,20.0,0.0,13.0,18.0
13,italian,BEA,Haas F1 Team,12.0,0.0,13.0,18.0
14,japanese,BEA,Haas F1 Team,10.0,1.0,14.0,18.0
15,las_vegas,BEA,Haas F1 Team,10.0,1.0,15.0,17.0
16,mexico_city,BEA,Haas F1 Team,4.0,12.0,27.0,15.0
17,miami,BEA,Haas F1 Team,19.0,0.0,27.0,15.0
18,monaco,BEA,Haas F1 Team,12.0,0.0,27.0,16.0
19,qatar,BEA,Haas F1 Team,19.0,0.0,27.0,16.0
20,saudi_arabian,BEA,Haas F1 Team,13.0,0.0,27.0,16.0
21,singapore,BEA,Haas F1 Team,9.0,2.0,29.0,15.0
22,spanish,BEA,Haas F1 Team,17.0,0.0,29.0,15.0
23,são_paulo,BEA,Haas F1 Team,6.0,8.0,37.0,14.0
24,united_states,BEA,Haas F1 Team,9.0,2.0,39.0,13.0
1,abu_dhabi,BOR,Kick Sauber,11.0,0.0,0.0,11.0
