Race,Driver,Stint,Compound,Laps,AvgLapTime
abu_dhabi,ALB,1.0,SOFT,8,0 days 00:01:31.937000
abu_dhabi,ALB,2.0,HARD,25,0 days 00:01:30.987880
abu_dhabi,ALB,3.0,MEDIUM,25,0 days 00:01:29.704120
abu_dhabi,ALO,1.0,MEDIUM,16,0 days 00:01:30.572562500
abu_dhabi,ALO,2.0,HARD,42,0 days 00:01:30.139761904
abu_dhabi,ANT,1.0,HARD,32,0 days 00:01:31.187656250
abu_dhabi,ANT,2.0,MEDIUM,26,0 days 00:01:29.763961538
abu_dhabi,BEA,1.0,MEDIUM,14,0 days 00:01:31.333857142
abu_dhabi,BEA,2.0,HARD,44,0 days 00:01:30.112750
abu_dhabi,BOR,1.0,MEDIUM,15,0 days 00:01:30.738133333
abu_dhabi,BOR,2.0,HARD,43,0 days 00:01:30.405581395
abu_dhabi,COL,1.0,MEDIUM,15,0 days 00:01:31.914400
abu_dhabi,COL,2.0,HARD,25,0 days 00:01:31.030840
abu_dhabi,COL,3.0,MEDIUM,17,0 days 00:01:29.822647058
abu_dhabi,GAS,1.0,MEDIUM,13,0 days 00:01:31.940230769
abu_dhabi,GAS,2.0,HARD,27,0 days 00:01:30.843777777
abu_dhabi,GAS,3.0,MEDIUM,17,0 days 00:01:29.786588235
abu_dhabi,HAD,1.0,MEDIUM,14,0 days 00:01:31.063571428
abu_dhabi,HAD,2.0,HARD,43,0 days 00:01:30.555953488
abu_dhabi,HAM,1.0,SOFT,8,0 days 00:01:31.806875
abu_dhabi,HAM,2.0,HARD,23,0 days 00:01:30.688913043
abu_dhabi,HAM,3.0,MEDIUM,27,0 days 00:01:29.623666666
abu_dhabi,HUL,1.0,SOFT,7,0 days 00:01:32.413000
abu_dhabi,HUL,2.0,HARD,35,0 days 00:01:30.599142857
abu_dhabi,HUL,3.0,MEDIUM,16,0 days 00:01:29.288875
abu_dhabi,LAW,1.0,MEDIUM,21,0 days 00:01:31.472476190
abu_dhabi,LAW,2.0,HARD,36,0 days 00:01:30.311277777
abu_dhabi,LEC,1.0,MEDIUM,16,0 days 00:01:30.290187500
abu_dhabi,LEC,2.0,HARD,23,0 days 00:01:29.691304347
abu_dhabi,LEC,3.0,MEDIUM,19,0 days 00:01:28.589736842
abu_dhabi,NOR,1.0,MEDIUM,16,0 days 00:01:30.143375
abu_dhabi,NOR,2.0,HARD,24,0 days 00:01:29.459208333
abu_dhabi,NOR,3.0,HARD,18,0 days 00:01:28.595888888
abu_dhabi,OCO,1.0,MEDIUM,19,0 days 00:01:31.061578947
abu_dhabi,OCO,2.0,HARD,39,0 days 00:01:29.927564102
abu_dhabi,PIA,1.0,HARD,41,0 days 00:01:29.577780487
abu_dhabi,PIA,2.0,MEDIUM,17,0 days 00:01:28.669058823
abu_dhabi,RUS,1.0,MEDIUM,14,0 days 00:01:30.555571428
abu_dhabi,RUS,2.0,HARD,44,0 days 00:01:29.733045454
abu_dhabi,SAI,1.0,MEDIUM,18,0 days 00:01:31.405222222
abu_dhabi,SAI,2.0,HARD,40,0 days 00:01:30.108325
abu_dhabi,STR,1.0,HARD,42,0 days 00:01:30.726238095
abu_dhabi,STR,2.0,MEDIUM,16,0 days 00:01:29.468125
abu_dhabi,TSU,1.0,HARD,32,0 days 00:01:30.808218750
abu_dhabi,TSU,2.0,MEDIUM,26,0 days 00:01:30.207692307
abu_dhabi,VER,1.0,MEDIUM,23,0 days 00:01:29.713000
abu_dhabi,VER,2.0,HARD,35,0 days 00:01:28.687714285
australian,ALB,1.0,INTERMEDIATE,1,0 days 00:02:12.195000
australian,ALB,4.0,INTERMEDIATE,29,0 days 00:01:37.626931034
australian,ALB,5.0,MEDIUM,11,0 days 00:01:57.063909090
australian,ALB,6.0,INTERMEDIATE,13,0 days 00:01:47.786923076
australian,ALO,1.0,INTERMEDIATE,1,0 days 00:02:17.178000
australian,ALO,4.0,INTERMEDIATE,28,0 days 00:01:37.136642857
australian,ANT,1.0,INTERMEDIATE,1,0 days 00:02:22.352000
australian,ANT,4.0,INTERMEDIATE,29,0 days 00:01:37.508103448
australian,ANT,5.0,HARD,11,0 days 00:01:56.732636363
australian,ANT,6.0,INTERMEDIATE,13,0 days 00:01:47.164615384
australian,BEA,1.0,INTERMEDIATE,1,0 days 00:02:29.413000
australian,BEA,4.0,INTERMEDIATE,34,0 days 00:01:43.284205882
australian,BEA,5.0,MEDIUM,5,0 days 00:01:40.918400
australian,BEA,6.0,INTERMEDIATE,13,0 days 00:01:43.034307692
australian,BOR,1.0,INTERMEDIATE,1,0 days 00:02:24.063000
australian,BOR,4.0,INTERMEDIATE,29,0 days 00:01:38.856413793
australian,BOR,5.0,MEDIUM,10,0 days 00:01:50.172700
australian,BOR,6.0,INTERMEDIATE,1,0 days 00:01:36.255000
australian,GAS,1.0,INTERMEDIATE,1,0 days 00:02:14.132000
australian,GAS,4.0,INTERMEDIATE,29,0 days 00:01:37.652068965
australian,GAS,5.0,HARD,13,0 days 00:01:53.630461538
australian,GAS,6.0,INTERMEDIATE,11,0 days 00:01:50.979727272
australian,HAM,1.0,INTERMEDIATE,1,0 days 00:02:12.883000
australian,HAM,4.0,INTERMEDIATE,29,0 days 00:01:37.627137931
australian,HAM,5.0,HARD,13,0 days 00:01:52.326846153
australian,HAM,6.0,INTERMEDIATE,10,0 days 00:01:48.594200
australian,HUL,1.0,INTERMEDIATE,1,0 days 00:02:21.221000
australian,HUL,4.0,INTERMEDIATE,29,0 days 00:01:38.674517241
australian,HUL,5.0,MEDIUM,11,0 days 00:01:53.838181818
australian,HUL,6.0,INTERMEDIATE,13,0 days 00:01:47.766692307
australian,LAW,1.0,INTERMEDIATE,1,0 days 00:02:28.795000
australian,LAW,4.0,INTERMEDIATE,29,0 days 00:01:38.758000
australian,LAW,5.0,MEDIUM,12,0 days 00:01:45.069083333
australian,LEC,1.0,INTERMEDIATE,1,0 days 00:02:08.480000
australian,LEC,4.0,INTERMEDIATE,30,0 days 00:01:37.892966666
australian,LEC,5.0,HARD,12,0 days 00:01:53.806333333
australian,LEC,6.0,INTERMEDIATE,10,0 days 00:01:47.753200
australian,NOR,1.0,INTERMEDIATE,1,0 days 00:01:57.099000
australian,NOR,4.0,INTERMEDIATE,30,0 days 00:01:36.368566666
australian,NOR,5.0,HARD,9,0 days 00:01:59.541111111
australian,NOR,6.0,INTERMEDIATE,13,0 days 00:01:47.513384615
australian,OCO,1.0,INTERMEDIATE,1,0 days 00:02:25.769000
australian,OCO,4.0,INTERMEDIATE,34,0 days 00:01:43.309176470
australian,OCO,5.0,MEDIUM,7,0 days 00:01:39.745857142
australian,OCO,6.0,INTERMEDIATE,11,0 days 00:01:44.316272727
australian,PIA,1.0,INTERMEDIATE,1,0 days 00:02:00.807000
australian,PIA,4.0,INTERMEDIATE,30,0 days 00:01:36.520766666
australian,PIA,5.0,HARD,8,0 days 00:02:00.257375
australian,PIA,6.0,INTERMEDIATE,13,0 days 00:01:42.300230769
australian,RUS,1.0,INTERMEDIATE,1,0 days 00:02:04.644000
australian,RUS,4.0,INTERMEDIATE,30,0 days 00:01:37.690400
australian,RUS,5.0,HARD,9,0 days 00:01:55.785222222
australian,RUS,6.0,INTERMEDIATE,13,0 days 00:01:47.534846153
australian,STR,1.0,INTERMEDIATE,1,0 days 00:02:19.485000
australian,STR,4.0,INTERMEDIATE,29,0 days 00:01:38.387655172
australian,STR,5.0,HARD,11,0 days 00:01:54.559454545
australian,STR,6.0,INTERMEDIATE,13,0 days 00:01:47.888153846
australian,TSU,1.0,INTERMEDIATE,1,0 days 00:02:10.655000
australian,TSU,4.0,INTERMEDIATE,29,0 days 00:01:37.674068965
australian,TSU,5.0,MEDIUM,13,0 days 00:01:52.876846153
australian,TSU,6.0,INTERMEDIATE,10,0 days 00:01:48.594000
australian,VER,1.0,INTERMEDIATE,1,0 days 00:01:59.392000
australian,VER,4.0,INTERMEDIATE,30,0 days 00:01:37.129900
australian,VER,5.0,MEDIUM,11,0 days 00:01:52.330454545
australian,VER,6.0,INTERMEDIATE,11,0 days 00:01:49.832454545
austrian,ALB,1.0,MEDIUM,13,0 days 00:01:19.520615384
austrian,ALB,2.0,MEDIUM,2,0 days 00:01:23.230000
austrian,ALO,1.0,MEDIUM,33,0 days 00:01:15.018636363
austrian,ALO,2.0,HARD,36,0 days 00:01:10.930972222
austrian,BEA,1.0,SOFT,11,0 days 00:01:21.367363636
austrian,BEA,2.0,HARD,28,0 days 00:01:12.179750
austrian,BEA,3.0,MEDIUM,30,0 days 00:01:11.215766666
austrian,BOR,1.0,MEDIUM,21,0 days 00:01:16.614047619
austrian,BOR,2.0,MEDIUM,28,0 days 00:01:11.581678571
austrian,BOR,3.0,HARD,20,0 days 00:01:10.823150
austrian,COL,1.0,SOFT,13,0 days 00:01:20.132076923
austrian,COL,2.0,MEDIUM,26,0 days 00:01:12.617076923
austrian,COL,3.0,HARD,30,0 days 00:01:11.187466666
austrian,GAS,1.0,SOFT,12,0 days 00:01:20.453166666
austrian,GAS,2.0,HARD,26,0 days 00:01:12.407384615
austrian,GAS,3.0,MEDIUM,31,0 days 00:01:11.378000
austrian,HAD,1.0,SOFT,2,0 days 00:01:49.702000
austrian,HAD,2.0,MEDIUM,26,0 days 00:01:13.315192307
austrian,HAD,3.0,HARD,41,0 days 00:01:11.464658536
austrian,HAM,1.0,MEDIUM,26,0 days 00:01:15.126769230
austrian,HAM,2.0,HARD,24,0 days 00:01:10.974250
austrian,HAM,3.0,MEDIUM,20,0 days 00:01:10.001750
austrian,HUL,1.0,SOFT,12,0 days 00:01:20.875833333
austrian,HUL,2.0,MEDIUM,30,0 days 00:01:11.695133333
austrian,HUL,3.0,MEDIUM,27,0 days 00:01:10.890703703
austrian,LAW,1.0,MEDIUM,32,0 days 00:01:15.050125
austrian,LAW,2.0,HARD,38,0 days 00:01:10.890605263
austrian,LEC,1.0,MEDIUM,25,0 days 00:01:15.159600
austrian,LEC,2.0,HARD,24,0 days 00:01:10.762750
austrian,LEC,3.0,MEDIUM,21,0 days 00:01:10.010333333
austrian,NOR,1.0,MEDIUM,20,0 days 00:01:15.769400
austrian,NOR,2.0,HARD,32,0 days 00:01:10.481062500
austrian,NOR,3.0,MEDIUM,18,0 days 00:01:09.828388888
austrian,OCO,1.0,MEDIUM,19,0 days 00:01:17.488789473
austrian,OCO,2.0,HARD,31,0 days 00:01:11.532709677
austrian,OCO,3.0,HARD,19,0 days 00:01:10.940947368
austrian,PIA,1.0,MEDIUM,24,0 days 00:01:15.023375
austrian,PIA,2.0,HARD,29,0 days 00:01:10.456827586
austrian,PIA,3.0,MEDIUM,17,0 days 00:01:09.798764705
austrian,RUS,1.0,MEDIUM,18,0 days 00:01:17.286444444
austrian,RUS,2.0,MEDIUM,27,0 days 00:01:11.603333333
austrian,RUS,3.0,HARD,25,0 days 00:01:10.625720
austrian,STR,1.0,MEDIUM,26,0 days 00:01:16.413576923
austrian,STR,2.0,HARD,27,0 days 00:01:11.901555555
austrian,STR,3.0,SOFT,16,0 days 00:01:10.878750
austrian,TSU,1.0,MEDIUM,18,0 days 00:01:17.956166666
austrian,TSU,2.0,HARD,12,0 days 00:01:13.105250
austrian,TSU,3.0,MEDIUM,30,0 days 00:01:11.769066666
austrian,TSU,4.0,SOFT,8,0 days 00:01:14.640750
azerbaijan,ALB,1.0,MEDIUM,1,0 days 00:02:36.417000
azerbaijan,ALB,2.0,MEDIUM,11,0 days 00:01:49.044000
azerbaijan,ALB,3.0,HARD,36,0 days 00:01:46.138833333
azerbaijan,ALO,1.0,MEDIUM,18,0 days 00:01:49.990500
azerbaijan,ALO,2.0,HARD,30,0 days 00:01:46.799900
azerbaijan,ANT,1.0,MEDIUM,15,0 days 00:01:48.780800
azerbaijan,ANT,2.0,HARD,33,0 days 00:01:45.562515151
azerbaijan,BEA,1.0,HARD,25,0 days 00:01:49.748720
