Race,Driver,Stint,Compound,Laps,AvgLapTime,FastestLap
abu_dhabi,ALB,1.0,SOFT,8,0 days 00:01:31.937000,0 days 00:01:30.223000
abu_dhabi,ALB,2.0,HARD,25,0 days 00:01:30.987880,0 days 00:01:29.374000
abu_dhabi,ALB,3.0,MEDIUM,25,0 days 00:01:29.704120,0 days 00:01:28.367000
abu_dhabi,ALO,1.0,MEDIUM,16,0 days 00:01:30.572562500,0 days 00:01:29.800000
abu_dhabi,ALO,2.0,HARD,42,0 days 00:01:30.139761904,0 days 00:01:28.279000
abu_dhabi,ANT,1.0,HARD,32,0 days 00:01:31.187656250,0 days 00:01:29.821000
abu_dhabi,ANT,2.0,MEDIUM,26,0 days 00:01:29.763961538,0 days 00:01:28.029000
abu_dhabi,BEA,1.0,MEDIUM,14,0 days 00:01:31.333857142,0 days 00:01:30.190000
abu_dhabi,BEA,2.0,HARD,44,0 days 00:01:30.112750,0 days 00:01:28.976000
abu_dhabi,BOR,1.0,MEDIUM,15,0 days 00:01:30.738133333,0 days 00:01:30.058000
abu_dhabi,BOR,2.0,HARD,43,0 days 00:01:30.405581395,0 days 00:01:29.114000
abu_dhabi,COL,1.0,MEDIUM,15,0 days 00:01:31.914400,0 days 00:01:30.551000
abu_dhabi,COL,2.0,HARD,25,0 days 00:01:31.030840,0 days 00:01:29.430000
abu_dhabi,COL,3.0,MEDIUM,17,0 days 00:01:29.822647058,0 days 00:01:27.710000
abu_dhabi,GAS,1.0,MEDIUM,13,0 days 00:01:31.940230769,0 days 00:01:30.400000
abu_dhabi,GAS,2.0,HARD,27,0 days 00:01:30.843777777,0 days 00:01:29.442000
abu_dhabi,GAS,3.0,MEDIUM,17,0 days 00:01:29.786588235,0 days 00:01:27.767000
abu_dhabi,HAD,1.0,MEDIUM,14,0 days 00:01:31.063571428,0 days 00:01:30.078000
abu_dhabi,HAD,2.0,HARD,43,0 days 00:01:30.555953488,0 days 00:01:29.375000
abu_dhabi,HAM,1.0,SOFT,8,0 days 00:01:31.806875,0 days 00:01:30.113000
abu_dhabi,HAM,2.0,HARD,23,0 days 00:01:30.688913043,0 days 00:01:28.517000
abu_dhabi,HAM,3.0,MEDIUM,27,0 days 00:01:29.623666666,0 days 00:01:28.094000
abu_dhabi,HUL,1.0,SOFT,7,0 days 00:01:32.413000,0 days 00:01:30.255000
abu_dhabi,HUL,2.0,HARD,35,0 days 00:01:30.599142857,0 days 00:01:28.442000
abu_dhabi,HUL,3.0,MEDIUM,16,0 days 00:01:29.288875,0 days 00:01:27.050000
abu_dhabi,LAW,1.0,MEDIUM,21,0 days 00:01:31.472476190,0 days 00:01:30.219000
abu_dhabi,LAW,2.0,HARD,36,0 days 00:01:30.311277777,0 days 00:01:28.886000
abu_dhabi,LEC,1.0,MEDIUM,16,0 days 00:01:30.290187500,0 days 00:01:29.606000
abu_dhabi,LEC,2.0,HARD,23,0 days 00:01:29.691304347,0 days 00:01:28.044000
abu_dhabi,LEC,3.0,MEDIUM,19,0 days 00:01:28.589736842,0 days 00:01:26.725000
abu_dhabi,NOR,1.0,MEDIUM,16,0 days 00:01:30.143375,0 days 00:01:29.510000
abu_dhabi,NOR,2.0,HARD,24,0 days 00:01:29.459208333,0 days 00:01:27.814000
