Race,Driver,Stint,PitLap,Compound
abu_dhabi,ALB,2.0,8,HARD
abu_dhabi,ALB,3.0,33,MEDIUM
abu_dhabi,ALO,2.0,16,HARD
abu_dhabi,ANT,2.0,32,MEDIUM
abu_dhabi,BEA,2.0,14,HARD
abu_dhabi,BOR,2.0,15,HARD
abu_dhabi,COL,2.0,15,HARD
abu_dhabi,COL,3.0,40,MEDIUM
abu_dhabi,GAS,2.0,13,HARD
abu_dhabi,GAS,3.0,40,MEDIUM
abu_dhabi,HAD,2.0,14,HARD
abu_dhabi,HAM,2.0,8,HARD
abu_dhabi,HAM,3.0,31,MEDIUM
abu_dhabi,HUL,2.0,7,HARD
abu_dhabi,HUL,3.0,42,MEDIUM
abu_dhabi,LAW,2.0,21,HARD
abu_dhabi,LEC,2.0,16,HARD
abu_dhabi,LEC,3.0,39,MEDIUM
abu_dhabi,NOR,2.0,16,HARD
abu_dhabi,NOR,3.0,40,HARD
abu_dhabi,OCO,2.0,19,HARD
abu_dhabi,PIA,2.0,41,MEDIUM
abu_dhabi,RUS,2.0,14,HARD
abu_dhabi,SAI,2.0,18,HARD
abu_dhabi,STR,2.0,42,MEDIUM
abu_dhabi,TSU,2.0,32,MEDIUM
abu_dhabi,VER,2.0,23,HARD
australian,ALB,4.0,1,INTERMEDIATE
australian,ALB,5.0,30,MEDIUM
australian,ALB,6.0,41,INTERMEDIATE
australian,ALO,4.0,1,INTERMEDIATE
australian,ANT,4.0,1,INTERMEDIATE
australian,ANT,5.0,30,HARD
australian,ANT,6.0,41,INTERMEDIATE
australian,BEA,4.0,1,INTERMEDIATE
australian,BEA,5.0,35,MEDIUM
australian,BEA,6.0,40,INTERMEDIATE
australian,BOR,4.0,1,INTERMEDIATE
australian,BOR,5.0,30,MEDIUM
australian,BOR,6.0,40,INTERMEDIATE
australian,GAS,4.0,1,INTERMEDIATE
australian,GAS,5.0,30,HARD
australian,GAS,6.0,43,INTERMEDIATE
australian,HAM,4.0,1,INTERMEDIATE
australian,HAM,5.0,30,HARD
australian,HAM,6.0,43,INTERMEDIATE
australian,HUL,4.0,1,INTERMEDIATE
